RespondentID	,	CollectorID	,	StartDate	,	EndDate	,	IP Address	,	Email Address	,	First Name	,	LastName	,	Custom Data	,	This course is using a flipped classroom approach in lecture, where we spend most of our lecture time on problem solving. How do you feel about this approach for this course?	,	Do you have any comments on the flipped approach?	,	How often do you do the readings or watch the videos BEFORE lecture?	,	How often do you do the readings or watch the videos EVENTUALLY?	,	How do you find the pace of the lecture?	,	Please describe something the instructor has done to help your learning in this course.	,	What is one thing we could change to help your learning in this course?                                                                                                                                                                                                                                                                                                                           
3545486383	,	59568092	,	10-27-2014	,	10-27-2014	,	134.87.178.35	,		,		,		,		,	Dislike strongly	,		,	More than half the time	,	More than half the time	,	Way too fast	,	nothing	,	slow down                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3541578507	,	59568092	,	10-24-2014	,	10-24-2014	,	206.87.82.49	,		,		,		,		,	Dislike strongly	,		,	More than half the time	,	Always or nearly always	,	Way too fast	,		,	learn in class                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3540663146	,	59568092	,	10-24-2014	,	10-24-2014	,	206.87.174.196	,		,		,		,		,	Dislike strongly	,	Your results may show better marks but that is likely due to the "forced" added work time.  Instead of 3 hours of lecture, and then homework/practice per week; now it is 3 hours of practice, ~3 of at home 'lecture', and homework/practice per week.	,	Always or nearly always	,	Always or nearly always	,	Way too slow	,	A few key points here and there were well explained.	,	Not flipped Classroom.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3539394253	,	59568092	,	10-24-2014	,	10-24-2014	,	206.87.170.112	,		,		,		,		,	Dislike somewhat	,	I think it's better to give some new stuff before we learn by ourselves at home.	,	Less than half the time	,	More than half the time	,	A bit too fast	,	Walking through the steps on the paper is a good and clear way to solve problems.	,	Post related practices before exams (not the question on the book)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3539268391	,	59568092	,	10-24-2014	,	10-24-2014	,	96.50.88.16	,		,		,		,		,	Like strongly	,	In-class problems are fun and the lecture still explains enough to be able to follow and participate without doing the reading.	,	Less than half the time	,	Never or almost never	,	A bit too slow	,	Always prepared to answer questions and gives a thorough response that covers the 'why' portion of the answer.	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3539185979	,	59568092	,	10-24-2014	,	10-24-2014	,	96.54.34.161	,		,		,		,		,	Like strongly	,		,	Never or almost never	,	Never or almost never	,	About right	,	She has a great teaching style, encourages and shows us how to problem solve well.	,	Maybe to have a tiny bit more time to copy down the problem and solve it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3538596939	,	59568092	,	10-23-2014	,	10-23-2014	,	142.104.73.31	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	Less than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3538580109	,	59568092	,	10-23-2014	,	10-23-2014	,	134.87.164.179	,		,		,		,		,	Dislike somewhat	,	having a quick explanation of the sections we are on would help, instead of jumping into problem solving.	,	More than half the time	,	Always or nearly always	,	About right	,	i like how she walks around helping students with problems.	,	although, doing problems in class is helpful, going over  lecture notes would be helpful aswell                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3538569480	,	59568092	,	10-23-2014	,	10-23-2014	,	134.87.140.29	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	More than half the time	,	About right	,	Helping through problem solving portion by coming around and providing assistances	,	Give clear solutions to problems in notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3536960326	,	59568092	,	10-23-2014	,	10-23-2014	,	206.87.80.111	,		,		,		,		,	Like somewhat	,	It seems to be working as a teaching technique for me; though, I could see people who can't teach themselves very well fall pretty hard.	,	Always or nearly always	,	More than half the time	,	A bit too slow	,	Removes any uncertainly one might have after doing the reading before.	,	An hour and a half of examples is a bit much. I wouldn't mind a little of just general review of the material at the beginning for 15-20 min then examples and problem solving. Plus a little bit of a peak at the material at the next section before then end of the lecture.                                                                                                                                                                                                                                                                                                                                                                   
3536913565	,	59568092	,	10-23-2014	,	10-23-2014	,	134.87.175.50	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Less than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3536881258	,	59568092	,	10-23-2014	,	10-23-2014	,	24.68.138.77	,		,		,		,		,	Like strongly	,	sometimes we could go on faster after a problem. I am usually waiting for a while after I finished the problem.	,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	Explaining a part of the assignment I didn't understand.	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3536803173	,	59568092	,	10-23-2014	,	10-23-2014	,	142.104.35.122	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Less than half the time	,	About right	,	Great at explaining methods and answering questions	,	Although she is great at explaining the methods and the techniques, she tends to skip some of the basic steps and sometimes it would overwhelm me. Especially since I am a beginner (I do not use the computer at all... which is a huge step for me to take this course) Because she skips over the basic steps it makes it difficult for me to understand the harder concepts.                                                                                                                                                                                                                                                                                                                                                                                                                                
